kodeGolongan;kodeBidang;kodeKelompok;kodeSubKelompok;namaBarang
5;03;03;03;BANGUNAN PENAMPUNG SAMPAH
5;03;03;99;INSTALASI PENGOLAHAN SAMPAH LAINNYA
5;03;04;00;INSTALASI PENGOLAHAN BAHAN BANGUNAN
5;03;04;01;INSTALASI PENGOLAHAN BAHAN BANGUNAN PERCONTOHAN
5;03;04;02;INSTALASI PENGOLAHAN BAHAN BANGUNAN PERINTIS
5;03;04;03;INSTALASI PENGOLAHAN BAHAN BANGUNAN TERAPAN
5;03;04;99;INSTALASI PENGOLAHAN BAHAN BANGUNAN LAINNYA
5;03;05;00;INSTALASI PEMBANGKIT LISTRIK
5;03;05;01;INSTALASI PEMBANGKIT LISTRIK TENAGA AIR (PLTA)
5;03;05;02;INSTALASI PEMBANGKIT LISTRIK TENAGA DIESEL (PLTD)
5;03;05;03;INSTALASI PEMBANGKIT LISTRIK TENAGA MIKRO HIDRO (PLTM)
5;03;05;04;INSTALASI PEMBANGKIT LISTRIK TENAGA ANGIN (PLTAN)
5;03;05;05;INSTALASI PEMBANGKIT LISTRIK TENAGA UAP (PLTU)
5;03;05;06;INSTALASI PEMBANGKIT LISTRIK TENAGA NUKLIR (PLTN)
5;03;05;07;INSTALASI PEMBANGKIT LISTRIK TENAGA GAS (PLTG)
5;03;05;08;INSTALASI PEMBANGKIT LISTRIK TENAGA PANAS BUMI (PLTP)
5;03;05;09;INSTALASI PEMBANGKIT LISTRIK TENAGA SURYA (PLTS)
5;03;05;10;INSTALASI PEMBANGKIT LISTRIK TENAGA BIOGAS (PLTB)
5;03;05;11;INSTALASI PEMBANGKIT LISTRIK TENAGA SAMUDERA / GELOMBANG SAMUDERA
5;03;05;99;INSTALASI PEMBANGKIT LISTRIK LAINNYA
5;03;06;00;INSTALASI GARDU LISTRIK
5;03;06;01;INSTALASI GARDU LISTRIK INDUK
5;03;06;02;INSTALASI GARDU LISTRIK DISTRIBUSI
5;03;06;03;INSTALASI PUSAT PENGATUR LISTRIK
5;03;06;99;INSTALASI GARDU LISTRIK LAINNYA
5;03;07;00;INSTALASI LAIN
5;03;07;01;INSTALASI LAIN
5;04;00;00;JARINGAN
5;04;01;00;JARINGAN AIR MINUM
5;04;01;01;JARINGAN PEMBAWA
5;04;01;02;JARINGAN INDUK DISTRIBUSI
5;04;01;03;JARINGAN CABANG DISTRIBUSI
5;04;01;04;JARINGAN SAMBUNGAN KE RUMAH
5;04;01;99;JARINGAN AIR MINUM LAINNYA
5;04;02;00;JARINGAN LISTRIK
5;04;02;01;JARINGAN TRANSMISI
5;04;02;02;JARINGAN DISTRIBUSI
5;04;02;99;JARINGAN LISTRIK LAINNYA
5;04;03;00;JARINGAN TELEPON
5;04;03;01;JARINGAN TELEPON DIATAS TANAH
5;04;03;02;JARINGAN TELEPON DIBAWAH TANAH
5;04;03;03;JARINGAN TELEPON DIDALAM AIR
5;04;03;04;JARINGAN DENGAN MEDIA UDARA
5;04;03;99;JARINGAN TELEPON LAINNYA
5;04;04;00;JARINGAN GAS
5;04;04;01;JARINGAN PIPA GAS TRANSMISI
5;04;04;02;JARINGAN PIPA DISTRIBUSI
5;04;04;03;JARINGAN PIPA DINAS
5;04;04;04;JARINGAN BBM
5;04;04;99;JARINGAN GAS LAINNYA
6;00;00;00;ASET TETAP LAINNYA
6;01;00;00;BAHAN PERPUSTAKAAN
6;01;01;00;BAHAN PERPUSTAKAAN TERCETAK
6;01;01;01;BUKU
6;01;01;02;SERIAL
6;01;01;99;TERCETAK LAINNYA
6;01;02;00;BAHAN PERPUSTAKAAN TEREKAM DAN BENTUK MIKRO
6;01;02;01;AUDIO VISUAL
6;01;02;02;BENTUK MIKRO (MICROFORM)
6;01;02;99;TEREKAM DAN BENTUK MIKRO LAINNYA
6;01;03;00;"KARTOGRAFI, NASKAH DAN LUKISAN"
6;01;03;01;BAHAN KARTOGRAFI
6;01;03;02;NASKAH (MANUSKRIP) / ASLI
6;01;03;03;LUKISAN DAN UKIRAN
6;01;03;99;"KARTOGRAFI, NASKAH DAN LUKISAN LAINNYA"
6;02;00;00;BARANG BERCORAK KESENIAN/KEBUDAYAAN/OLAHRAGA
6;02;01;00;BARANG BERCORAK KESENIAN
6;02;01;01;ALAT MUSIK
6;02;01;02;LUKISAN
6;02;01;03;ALAT PERAGA KESENIAN
6;02;01;99;BARANG BERCORAK KESENIAN LAINNYA
6;02;02;00;ALAT BERCORAK KEBUDAYAAN
6;02;02;01;PAHATAN
6;02;02;02;"MAKET, MINIATUR, REPLIKA DAN FOTO DOKUMEN"
6;02;02;99;ALAT BERCORAK KEBUDAYAAN LAINNYA
6;02;03;00;TANDA PENGHARGAAN BIDANG OLAH RAGA
6;02;03;01;TANDA PENGHARGAAN
6;02;03;99;TANDA PENGHARGAAN BIDANG OLAH RAGA LAINNYA
6;03;00;00;HEWAN
6;03;01;00;HEWAN PIARAAN
6;03;01;01;HEWAN PENGAMAN
6;03;01;02;HEWAN PENGANGKUT
6;03;01;99;HEWAN PIARAAN LAINNYA
6;03;02;00;TERNAK
6;03;02;01;TERNAK POTONG
6;03;02;02;TERNAK PERAH
6;03;02;03;TERNAK UNGGAS
6;03;02;99;TERNAK LAINNYA
6;03;03;00;HEWAN LAINNYA
6;03;03;01;HEWAN LAINNYA
6;04;00;00;IKAN
6;04;01;00;IKAN BERSIRIP (PISCES/IKAN BERSIRIP)
6;04;01;01;IKAN BUDIDAYA
6;04;02;00;"CRUSTEA (UDANG, RAJUNGAN, KEPITING, DAN SEBANGSANYA)"
6;04;02;01;"CRUSTEA BUDIDAYA (UDANG, RAJUNGAN, KEPITING, DAN SEBANGSANYA)"
6;04;03;00;"MOLLUSCA (KERANG, TIRAM, CUMI-CUMI, GURITA, SIPUT, DAN SEBANGSANYA)"
6;04;03;01;"MOLLUSCA BUDIDAYA (KERANG, TIRAM, CUMI-CUMI, GURITA, SIPUT, DAN SEBANGSANYA)"
6;04;04;00;COELENTERATA (UBUR-UBUR DAN SEBANGSANYA)
6;04;04;01;COELENTERATA BUDIDAYA (UBUR-UBUR DAN SEBANGSANYA)
6;04;05;00;"ECHINODERMATA (TRIPANG, BULU BABI, DAN SEBANGSANYA)"
6;04;05;01;"ECHINODERMATA BUDIDAYA (TRIPANG, BULU BABI, DAN SEBANGSANYA)"
6;04;06;00;AMPHIBIA (KODOK DAN SEBANGSANYA)
6;04;06;01;AMPHIBIA BUDIDAYA (KODOK DAN SEBANGSANYA)
6;04;07;00;"REPTILIA (BUAYA, PENYU, KURA-KURA, BIAWAK, ULAR AIR, DAN SEBANGSANYA"
6;04;07;01;"REPTILIA BUDIDAYA (BUAYA, PENYU, KURA-KURA, BIAWAK, ULAR AIR, DAN SEBANGSANYA)"
6;04;08;00;"MAMMALIA (PAUS, LUMBA-LUMBA, PESUT, DUYUNG, DAN SEBANGSANYA)"
6;04;08;01;"MAMMALIA BUDIDAYA (PAUS, LUMBA-LUMBA, PESUT, DUYUNG, DAN SEBANGSANYA)"
6;04;09;00;ALGAE (RUMPUT LAUT DAN TUMBUH-TUMBUHAN LAIN YANG HIDUP DI DALAM AIR)
6;04;09;01;ALGAE BUDIDAYA (RUMPUT LAUT DAN TUMBUH-TUMBUHAN LAIN YANG HIDUP DI DALAMAIR)
6;04;10;00;BIOTA PERAIRAN LAINNYA
6;04;10;01;BUDIDAYA BIOTA PERAIRAN LAINNYA
6;05;00;00;TANAMAN
6;05;01;00;TANAMAN
6;05;01;01;TANAMAN
6;06;00;00;ASET TETAP DALAM RENOVASI
6;06;01;00;ASET TETAP DALAM RENOVASI
6;06;01;01;ASET TETAP DALAM RENOVASI
7;00;00;00;KONSTRUKSI DALAM PENGERJAAN
7;01;00;00;KONSTRUKSI DALAM PENGERJAAN
7;01;01;00;KONSTRUKSI DALAM PENGERJAAN
7;01;01;01;KONSTRUKSI DALAM PENGERJAAN
8;00;00;00;ASET TAK BERWUJUD
8;01;00;00;ASET TAK BERWUJUD
8;01;01;00;ASET TAK BERWUJUD
8;01;01;01;ASET TAK BERWUJUD
8;02;00;00;ASET TAK BERWUJUD DALAM PENGERJAAN
8;02;01;00;ASET TAK BERWUJUD DALAM PENGERJAAN
8;02;01;01;ASET TAK BERWUJUD DALAM PENGERJAAN
