URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
Penyediaan Sarana (Aset Tetap) Perkantoran/Pemerintahan;2000000;2020;GUNUNGTIGA;BELIK;PEMALANG;JAWA TENGAH
Pengembangan Sistem Informasi Desa;46400000;2020;GUNUNGTIGA;BELIK;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah Non-Formal Milik Desa
(Honor, Pakaian dll)";10000000;2020;GUNUNGTIGA;BELIK;PEMALANG;JAWA TENGAH
"Penyelenggaraan Pos Kesehatan Desa/Polindes Milik Desa (obat, Insentif, KB,
dsb)";16840000;2020;GUNUNGTIGA;BELIK;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);11749550;2020;GUNUNGTIGA;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana
Posyandu/Polindes/PKD **";19917500;2020;GUNUNGTIGA;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Pemakaman Milik Desa/Situs
Bersejarah";11500000;2020;GUNUNGTIGA;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Sarana Prasarana Olah Raga/
Gedung Serba Guna";132265000;2020;GUNUNGTIGA;BELIK;PEMALANG;JAWA TENGAH
"Pembentukan dan Dukungan Fasilitasi (Operasional, Pelatihan, Insentif,)
Kader Pembangunan dan Pember";4000000;2020;GUNUNGTIGA;BELIK;PEMALANG;JAWA TENGAH
Penanggulangan Bencana;102503550;2020;GUNUNGTIGA;BELIK;PEMALANG;JAWA TENGAH
BLTDD;928800000;2020;GUNUNGTIGA;BELIK;PEMALANG;JAWA TENGAH
Pelayanan administrasi umum dan kependudukan (Surat Pengantar/Pelayanan KTP, Akta Kelahiran, Kartu Keluarga, dll);18208900;2020;GUNUNGTIGA;BELIK;PEMALANG;JAWA TENGAH
Pemetaan dan Analisis Kemiskinan Desa secara Partisipatif;16449500;2020;GUNUNGTIGA;BELIK;PEMALANG;JAWA TENGAH
Dukungan pelaksanaan program Pembangunan/Rehab Rumah Tidak Layak Huni (RTLH) GAKIN (pemetaan, validasi, dll);10000000;2020;GUNUNGTIGA;BELIK;PEMALANG;JAWA TENGAH
URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
NA;NA;2015;KUTA;BELIK;PEMALANG;JAWA TENGAH
NA;NA;2016;KUTA;BELIK;PEMALANG;JAWA TENGAH
Pembinaan dan Pengelolaan Pendidikan Anak Usia Dini.;2600000;2017;KUTA;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Sanitasi Lingkungan;15000000;2017;KUTA;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pengelolaan Air Bersih Berskala Desa;3000000;2017;KUTA;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan  Jalan Desa;750098000;2017;KUTA;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Turap atau Bronjong atau  Talud  Desa;166476000;2017;KUTA;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Drainase atau Gorong-Gorong atau Plat Deker;143704000;2017;KUTA;BELIK;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PENGELOLAAN AIR BERSIH BERSEKALA DESA;21000000;2018;KUTA;BELIK;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;1422624000;2018;KUTA;BELIK;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JEMBATAN DESA;136329000;2018;KUTA;BELIK;PEMALANG;JAWA TENGAH
FASILITASI TERHADAP KELOMPOK-KELOMPOK RENTAN, KELOMPOK MISKIN, PEREMPUAN, MASYARAKAT ADAT, DAN DIFABEL;30000000;2018;KUTA;BELIK;PEMALANG;JAWA TENGAH
PENINGKATAN KAPASITAS SUMBER DAYA APARTUR PEMERINTAH DESA;12000000;2018;KUTA;BELIK;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas Kelembagaan Kader Pemberdayaan Masyarakat;2500000;2018;KUTA;BELIK;PEMALANG;JAWA TENGAH
Penyelenggaraan Promosi Kesehatan dan Gerakan Hidup Bersih dan Sehat;5000000;2018;KUTA;BELIK;PEMALANG;JAWA TENGAH
Analisis Kemiskinan Secara Partisipatif Di Desa;18000000;2018;KUTA;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pengembangan Sarana Prasarana Komunikasi dan Informatika;50000000;2018;KUTA;BELIK;PEMALANG;JAWA TENGAH
Penguatan Permodalan  Bum Desa;15000000;2018;KUTA;BELIK;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN TURAP/BRONJONG/TALUD DESA;67882000;2018;KUTA;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Sanitasi Lingkungan;150000000;2018;KUTA;BELIK;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah NonFormal Milik Desa
(Honor, Pakaian dll)";27600000;2019;KUTA;BELIK;PEMALANG;JAWA TENGAH
Dukungan Penyelenggaran PAUD (APE, Sarana PAUD dst);18000000;2019;KUTA;BELIK;PEMALANG;JAWA TENGAH
Penyuluhan dan Pelatihan Pendidikan Bagi Masyarakat;15000000;2019;KUTA;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana/Alat
Peraga";29860000;2019;KUTA;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana
Posyandu/Polindes/PKD **";25000000;2019;KUTA;BELIK;PEMALANG;JAWA TENGAH
Penyelenggaraan Promosi Kesehatan dan Gerakan Hidup Bersih dan Sehat;1000000;2019;KUTA;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Prasarana Jalan Desa (Gorong,
selokan dll)";73571400;2019;KUTA;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Turap/Bronjong/ Talud/ Tanggul
Desa** (kewenangan desa)";237497400;2019;KUTA;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Sambungan Air Bersih ke Rumah
Tangga **)";21000000;2019;KUTA;BELIK;PEMALANG;JAWA TENGAH
Dukungan Pelaksanaan Program Jambanisasi untuk Keluarga Miskin;223500000;2019;KUTA;BELIK;PEMALANG;JAWA TENGAH
Peningkatan Kapatitas Perangkat Desa;5000000;2019;KUTA;BELIK;PEMALANG;JAWA TENGAH
Pelatihan dan Penyuluhan Pemberdayaan Perempuan;68935000;2019;KUTA;BELIK;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah Non-Formal Milik Desa
(Honor, Pakaian dll)";50400000;2020;KUTA;BELIK;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);21600000;2020;KUTA;BELIK;PEMALANG;JAWA TENGAH
"Penyuluhan dan Pelatihan Bidang Kesehatan (Untuk Masy, Tenaga dan
Kader Kesehatan dll)";2700000;2020;KUTA;BELIK;PEMALANG;JAWA TENGAH
Fasilitasi Pelayanan Kesehatan Bagi Masyarakat Miskin;14100000;2020;KUTA;BELIK;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitas/Peningkatan/Pengerasan Jalan Desa;635171000;2020;KUTA;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Turap/Bronjong/ Talud/ Tanggul
Desa** (kewenangan desa)";75370000;2020;KUTA;BELIK;PEMALANG;JAWA TENGAH
"Dukungan Pelaksanaan Program Pembangunan/Rehab Rumah Tidak Layak
Huni GAKIN";11500000;2020;KUTA;BELIK;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas BPD;5900000;2020;KUTA;BELIK;PEMALANG;JAWA TENGAH
Penanggulangan bencana;247677000;2020;KUTA;BELIK;PEMALANG;JAWA TENGAH
BLTDD;1954800000;2020;KUTA;BELIK;PEMALANG;JAWA TENGAH
URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
NA;NA;2015;BADAK;BELIK;PEMALANG;JAWA TENGAH
NA;NA;2016;BADAK;BELIK;PEMALANG;JAWA TENGAH
Pengelolaan dan Pengembangan Sistem Administrasi dan Informasi Desa;3380000;2017;BADAK;BELIK;PEMALANG;JAWA TENGAH
Pengembangan Tenaga Kesehatan Desa;33600000;2017;BADAK;BELIK;PEMALANG;JAWA TENGAH
Pembinaan dan Pengelolaan Pendidikan Anak Usia Dini.;23400000;2017;BADAK;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan  Jalan Desa;622228800;2017;BADAK;BELIK;PEMALANG;JAWA TENGAH
Sosialisasi Keamanaan, Ketertiban dan Ketentraman Masyarakat Desa;12000000;2017;BADAK;BELIK;PEMALANG;JAWA TENGAH
Melestarikan dan Mengembangkan Gotong Royong Masyarakat Desa (Bbgrm);6000000;2017;BADAK;BELIK;PEMALANG;JAWA TENGAH
Penyelenggaraan Kegiatan Adat Budaya Desa  (Sedekah Bumi, Laut  dll);50000000;2017;BADAK;BELIK;PEMALANG;JAWA TENGAH
Fasilitasi dan Pembinaan Lembaga Pemberdayaan Masyarakat Desa;7200000;2017;BADAK;BELIK;PEMALANG;JAWA TENGAH
Fasilitasi dan Pembinaan Karang Taruna;10320000;2017;BADAK;BELIK;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas Sumber Daya Aparatur Pemerintah Desa;5000000;2017;BADAK;BELIK;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas Kader Pemberdayaan Masyarakat Desa;5000000;2017;BADAK;BELIK;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;1247102000;2018;BADAK;BELIK;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN TURAP/BRONJONG/TALUD DESA;90540000;2018;BADAK;BELIK;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN DRAINASE/GORONG GORONG DAN PLAT DEKER;384088000;2018;BADAK;BELIK;PEMALANG;JAWA TENGAH
Penyelenggaraan Promosi Kesehatan dan Gerakan Hidup Bersih dan Sehat;10000000;2018;BADAK;BELIK;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas Sumber Daya Aparatur Pemerintah Desa;5000000;2018;BADAK;BELIK;PEMALANG;JAWA TENGAH
PENINGKATAN KAPASITAS KELEMBAGAAN KADER PEMBERDAYAAN;5000000;2018;BADAK;BELIK;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas  Kelompok Usaha Ekonomi Produktif;5000000;2018;BADAK;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pengembangan Sarana Prasarana Komunikasi dan Informatika;50000000;2018;BADAK;BELIK;PEMALANG;JAWA TENGAH
Penguatan Permodalan  Bum Desa;15000000;2018;BADAK;BELIK;PEMALANG;JAWA TENGAH
Pengembangan Sistem Informasi Desa;1710300;2019;BADAK;BELIK;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah NonFormal Milik Desa
(Honor, Pakaian dll)";28800000;2019;BADAK;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana/Alat
Peraga";10000000;2019;BADAK;BELIK;PEMALANG;JAWA TENGAH
"Penyelenggaraan Pos Kesehatan Desa/Polindes Milik Desa (obat, Insentif,
KB, dsb)";18600000;2019;BADAK;BELIK;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);70560000;2019;BADAK;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana
Posyandu/Polindes/PKD **";50000000;2019;BADAK;BELIK;PEMALANG;JAWA TENGAH
Penyelenggaraan Promosi Kesehatan dan Gerakan Hidup Bersih dan Sehat;21940000;2019;BADAK;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jalan Lingkungan
Permukiman **)";370975400;2019;BADAK;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jembatan Milik Desa
**)";33689000;2019;BADAK;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Prasarana Jalan Desa (Gorong,
selokan dll)";31645000;2019;BADAK;BELIK;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitasi/Peningkatan Monumen/Gapura/Batas Desa **);30974000;2019;BADAK;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Turap/Bronjong/ Talud/ Tanggul
Desa** (kewenangan desa)";114834000;2019;BADAK;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Sarana Prasarana Olah Raga/
Gedung Serba Guna";98316600;2019;BADAK;BELIK;PEMALANG;JAWA TENGAH
Pembinaan Karangtaruna/Klub Kepemudaan/Olahraga Tingkat Desa;43610500;2019;BADAK;BELIK;PEMALANG;JAWA TENGAH
Pelatihan Pembinaan Lembaga Kemasyarakatan;105423000;2019;BADAK;BELIK;PEMALANG;JAWA TENGAH
Bimtek/Pelatihan/Pengenalan TTG untuk Perikanan Darat/Nelayan **);77405000;2019;BADAK;BELIK;PEMALANG;JAWA TENGAH
"Pelatihan/Bimtek/Pengenalan Tekonologi Tepat Guna untuk
Pertanian/Peternakan";79890000;2019;BADAK;BELIK;PEMALANG;JAWA TENGAH
Peningkatan Kapatitas Perangkat Desa;19829000;2019;BADAK;BELIK;PEMALANG;JAWA TENGAH
Pelatihan dan Penyuluhan Perlindungan Anak;8190000;2019;BADAK;BELIK;PEMALANG;JAWA TENGAH
Pengembangan Sistem Informasi Desa;24600000;2020;BADAK;BELIK;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah Non-Formal Milik Desa
(Honor, Pakaian dll)";28800000;2020;BADAK;BELIK;PEMALANG;JAWA TENGAH
"Penyelenggaraan Pos Kesehatan Desa/Polindes Milik Desa (obat, Insentif, KB,
dsb)";46100000;2020;BADAK;BELIK;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);42666600;2020;BADAK;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana
Posyandu/Polindes/PKD **";29008000;2020;BADAK;BELIK;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitas/Peningkatan/Pengerasan Jalan Desa;457493800;2020;BADAK;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jalan Lingkungan
Permukiman (Dipilih)";240893400;2020;BADAK;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Turap/Bronjong/ Talud/ Tanggul
Desa** (kewenangan desa)";151252000;2020;BADAK;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Sambungan Air Bersih ke Rumah
Tangga (Dipilih)";84033000;2020;BADAK;BELIK;PEMALANG;JAWA TENGAH
Penyelenggaraan Informasi Publik Desa (Poster, Baliho Dll);13939240;2020;BADAK;BELIK;PEMALANG;JAWA TENGAH
"Pembuatan dan Pengelolaan Jaringan/Instalasi Komunikasi dan Informasi
Lokal Desa";32800760;2020;BADAK;BELIK;PEMALANG;JAWA TENGAH
"Pembentukan dan Dukungan Fasilitasi (Operasional, Pelatihan, Insentif,)
Kader Pembangunan dan Pember";3600000;2020;BADAK;BELIK;PEMALANG;JAWA TENGAH
Kegiatan Penanggulanan Bencana;291166200;2020;BADAK;BELIK;PEMALANG;JAWA TENGAH
BLT;1189800000;2020;BADAK;BELIK;PEMALANG;JAWA TENGAH
Penyertaan Modal Desa;20000000;2020;BADAK;BELIK;PEMALANG;JAWA TENGAH
URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
NA;NA;2015;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
NA;NA;2016;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan  Jalan Desa;1438826000;2017;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan  Jalan Desa;1137820650;2018;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Jembatan Desa;54291230;2018;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Turap/Bronjong/ Talud  Desa;388728800;2018;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Drainase/Gorong-Gorong/Plat Deker;37759320;2018;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pengembangan Sarana Prasarana Komunikasi dan Informatika;50000000;2018;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas Kelembagaan Kader Pemberdayaan Masyarakat;5000000;2018;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas Sumber Daya Aparatur Pemerintah Desa;5000000;2018;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Penguatan Permodalan Bum Desa dan Bum Desa Bersama;65000000;2018;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
"Dukungan Sarana Prasana Pendidikan PAUD/TK/TPA/TKA/TPQ/Madrasah
Non-Formal Bukan Milik Desa (dalam b";50000000;2019;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Penyelenggaraan Promosi Kesehatan dan Gerakan Hidup Bersih dan Sehat;19735000;2019;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitas/Peningkatan/Pengerasan Jalan Desa **);1755655500;2019;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Turap/Bronjong/ Talud/ Tanggul
Desa** (kewenangan desa)";90784500;2019;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Persiapan Kesiapsiagaan/Tanggap Bencana Skala Lokal Desa;24657500;2019;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Pembinaan Group Kesenian dan Kebudayaan Tingkat Desa;33250000;2019;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Penyelenggaraan Pelatihan Kepemudaan Tingkat Desa;20920000;2019;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Pelatihan Pembinaan Lembaga Kemasyarakatan;16100000;2019;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
"Pembentukan dan Dukungan Fasilitasi Kader Pembangunan dan
Pemberdayaan Masyarakat";4000000;2019;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Bimtek/Pelatihan/Pengenalan TTG untuk Perikanan Darat/Nelayan **);73328500;2019;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
"Pelatihan/Bimtek/Pengenalan Tekonologi Tepat Guna untuk
Pertanian/Peternakan";153080500;2019;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Peningkatan Kapatitas Perangkat Desa;3133500;2019;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas BPD;2850000;2019;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Pelatihan dan Penyuluhan Pemberdayaan Perempuan;21345000;2019;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Pelatihan Pengelolaan BUM Desa (Pelatihan yg dilaksanakan oleh Pemdes);4000000;2019;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Pengembangan Sistem Informasi Desa;62958000;2020;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitas/Peningkatan/Pengerasan Jalan Desa;1817731200;2020;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Turap/Bronjong/ Talud/ Tanggul
Desa** (kewenangan desa)";78572000;2020;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Pemeliharaan Sambungan Air Bersih ke Rumah Tangga (Pipanisasi dll);110114000;2020;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
"Pembentukan dan Dukungan Fasilitasi (Operasional, Pelatihan, Insentif,)
Kader Pembangunan dan Pember";1297500;2020;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Kegiatan Penanggulanan Bencana;50415300;2020;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
Penanganan Keadaan Mendesak;658800000;2020;GUNUNGJAYA;BELIK;PEMALANG;JAWA TENGAH
URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
NA;NA;2015;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
NA;NA;2016;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Pelaksanaan Pelayanan Kesehatan;3950000;2017;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Pemantauan dan Pencegahan Penyalahgunaan Narkoba dan Zat Adiktif Di Desa;2325000;2017;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Kantor dan Balai Desa;67825000;2017;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan  Jalan Desa;597253000;2017;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Rumah Ibadah;4500000;2017;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Pelatihan atau Peningkatan Kualitas Proses Perencanaan Desa;1400000;2017;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas Sumber Daya Aparatur Pemerintah Desa;5780000;2017;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;1195497800;2018;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN TURAP/BRONJONG/ TALUD DESA;162058800;2018;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
PEMELIHARAAN DAN PEMBANGUNAN SANITASI LINGKUNGAN;40401000;2018;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
FASILITASI DAN PENGELOLAAN BUM DESA & BUM DESA BERSAMA;15000000;2018;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
PENGUATAN MODAL BUM DESA;30000000;2018;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
PENINGKATAN KAPASITAS SUMBER DAYA APARTUR PEMERINTAH DESA;5000000;2018;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas Kader Pemberdayaan Masyarakat Desa;5000000;2018;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Penyelenggaraan Promosi Kesehatan dan Gerakan Hidup Bersih dan Sehat;10000000;2018;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Fasilitasi Kelompok Tani;8000000;2018;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Pelatihan Usaha Ekonomi;5000000;2018;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Fasilitasi dan Pembinaan Karang Taruna;2000000;2018;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Pembinaan dan Fasilitasi Kegiatan Lembaga Keagamaan  (Operasional Tpq /Madrasah/Masjid/Langgar/Pengajian Di Desa Dll);6000000;2018;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Melestarikan dan Mengembangkan Gotong Royong Masyarakat Desa (Bbgrm);3000000;2018;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pengembangan Sarana Prasarana Komunikasi dan Informatika;50000000;2018;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Lapangan Desa;30304400;2018;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Irigasi Tersier /Pintu Air;31435000;2018;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Penyediaan Isentip / Honorarium Pembantu  Tugas Umum Desa;10800000;2019;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Pemetaan dan Analisis Kemiskinan Desa secara Partisipatif;5000000;2019;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Pengembangan Sistem Informasi Desa;24522400;2019;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah NonFormal Milik Desa
(Honor, Pakaian dll)";10800000;2019;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Dukungan Penyelenggaran PAUD (APE, Sarana PAUD dst);7200000;2019;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Penyuluhan dan Pelatihan Pendidikan Bagi Masyarakat;5000000;2019;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
"Pengelolaan Perpustakaan Milik Desa (Pengadaan Buku, Honor, Taman
Baca)";8600000;2019;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
"Dukungan Sarana Prasana Pendidikan PAUD/TK/TPA/TKA/TPQ/Madrasah
Non-Formal Bukan Milik Desa (dalam b";12000000;2019;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
"Penyelenggaraan Pos Kesehatan Desa/Polindes Milik Desa (obat, Insentif,
KB, dsb)";16000000;2019;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);28800000;2019;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
"Penyuluhan dan Pelatihan Bidang Kesehatan (Untuk Masy, Tenaga dan
Kader Kesehatan dll)";14500000;2019;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Fasilitasi Pelayanan Bagi Masyarakat / Anak Berkebutuhan Khusus;12000000;2019;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Pemeliharaan Fasilitas Kesehatan (Mobil Siaga/Ambulan Desa);8360000;2019;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitas/Peningkatan/Pengerasan Jalan Desa **);1131867100;2019;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jalan Lingkungan
Permukiman **)";415026200;2019;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jalan Usaha Tani **);55530900;2019;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Turap/Bronjong/ Talud/ Tanggul
Desa** (kewenangan desa)";43796500;2019;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
"Dukungan Pelaksanaan Program Pembangunan/Rehab Rumah Tidak Layak
Huni GAKIN";18000000;2019;SIMPUR;BELIK;PEMALANG;JAWA TENGAH
